Name1,Name2,Equal
892325437.jpg,944751814.jpg,0
910601193.jpg,930996853.jpg,0
922383102.jpg,931349958.jpg,1
909049110.jpg,929883806.jpg,0
901308428.jpg,930348259.jpg,1
920951774.jpg,932928345.jpg,0
921654143.jpg,939261340.jpg,0
922878188.jpg,930168051.jpg,1
914403718.jpg,933200732.jpg,0
936498052.jpg,939389102.jpg,0
934539409.jpg,935399205.jpg,0
924101978.jpg,936903644.jpg,0
939472604.jpg,954628481.jpg,0
928897361.jpg,930362077.jpg,0
904365176.jpg,906616272.jpg,0
927923803.jpg,941476335.jpg,0
931467786.jpg,938214283.jpg,0
924537003.jpg,944536753.jpg,0
922779422.jpg,925634411.jpg,0
920023830.jpg,926214858.jpg,0
929527057.jpg,929527060.jpg,1
949710051.jpg,953828260.jpg,0
893188001.jpg,930252558.jpg,0
938283985.jpg,940718925.jpg,0
921062320.jpg,932159411.jpg,0
927030554.jpg,938223098.jpg,0
931645896.jpg,952392659.jpg,0
891440212.jpg,910249579.jpg,0
925015877.jpg,942462360.jpg,0
935570892.jpg,945715907.jpg,0
922937413.jpg,927944555.jpg,1
939881006.jpg,949786099.jpg,0
910064129.jpg,947453200.jpg,0
937819675.jpg,941905892.jpg,0
896912143.jpg,925261235.jpg,1
890968778.jpg,937815637.jpg,0
936527977.jpg,938347216.jpg,0
936051385.jpg,946900643.jpg,0
912141349.jpg,933383782.jpg,0
915374609.jpg,921850815.jpg,0
909953905.jpg,922873503.jpg,0
925838598.jpg,927460877.jpg,0
940476436.jpg,946148246.jpg,0
927624936.jpg,928880805.jpg,0
922444085.jpg,923278875.jpg,1
930701370.jpg,930701388.jpg,1
894732326.jpg,896510803.jpg,0
923329215.jpg,931372687.jpg,0
890670723.jpg,945737219.jpg,0
908004626.jpg,934256381.jpg,0
923854120.jpg,925644225.jpg,0
904416805.jpg,924846277.jpg,0
904148934.jpg,936348338.jpg,0
924714435.jpg,927124909.jpg,0
930963756.jpg,932630496.jpg,1
913021122.jpg,926201020.jpg,1
903771772.jpg,921343845.jpg,0
922052982.jpg,929764898.jpg,0
938437895.jpg,939938612.jpg,0
908341912.jpg,930295165.jpg,0
906354675.jpg,947081987.jpg,0
930095908.jpg,932374484.jpg,0
936677513.jpg,937795094.jpg,0
